Título,Episódio,Diretor,Produtor,Data de lançamento,Personagens,Planetas,Naves estelares,Veículos,Espécies,URL,Criado em,Editado em
A New Hope,4,George Lucas,"Gary Kurtz, Rick McCallum",1977-05-25,"https://swapi.dev/api/people/1/, https://swapi.dev/api/people/2/, https://swapi.dev/api/people/3/, https://swapi.dev/api/people/4/, https://swapi.dev/api/people/5/, https://swapi.dev/api/people/6/, https://swapi.dev/api/people/7/, https://swapi.dev/api/people/8/, https://swapi.dev/api/people/9/, https://swapi.dev/api/people/10/, https://swapi.dev/api/people/12/, https://swapi.dev/api/people/13/, https://swapi.dev/api/people/14/, https://swapi.dev/api/people/15/, https://swapi.dev/api/people/16/, https://swapi.dev/api/people/18/, https://swapi.dev/api/people/19/, https://swapi.dev/api/people/81/","https://swapi.dev/api/planets/1/, https://swapi.dev/api/planets/2/, https://swapi.dev/api/planets/3/","https://swapi.dev/api/starships/2/, https://swapi.dev/api/starships/3/, https://swapi.dev/api/starships/5/, https://swapi.dev/api/starships/9/, https://swapi.dev/api/starships/10/, https://swapi.dev/api/starships/11/, https://swapi.dev/api/starships/12/, https://swapi.dev/api/starships/13/","https://swapi.dev/api/vehicles/4/, https://swapi.dev/api/vehicles/6/, https://swapi.dev/api/vehicles/7/, https://swapi.dev/api/vehicles/8/","https://swapi.dev/api/species/1/, https://swapi.dev/api/species/2/, https://swapi.dev/api/species/3/, https://swapi.dev/api/species/4/, https://swapi.dev/api/species/5/",https://swapi.dev/api/films/1/,2014-12-10T14:23:31.880000Z,2014-12-20T19:49:45.256000Z
The Empire Strikes Back,5,Irvin Kershner,"Gary Kurtz, Rick McCallum",1980-05-17,"https://swapi.dev/api/people/1/, https://swapi.dev/api/people/2/, https://swapi.dev/api/people/3/, https://swapi.dev/api/people/4/, https://swapi.dev/api/people/5/, https://swapi.dev/api/people/10/, https://swapi.dev/api/people/13/, https://swapi.dev/api/people/14/, https://swapi.dev/api/people/18/, https://swapi.dev/api/people/20/, https://swapi.dev/api/people/21/, https://swapi.dev/api/people/22/, https://swapi.dev/api/people/23/, https://swapi.dev/api/people/24/, https://swapi.dev/api/people/25/, https://swapi.dev/api/people/26/","https://swapi.dev/api/planets/4/, https://swapi.dev/api/planets/5/, https://swapi.dev/api/planets/6/, https://swapi.dev/api/planets/27/","https://swapi.dev/api/starships/3/, https://swapi.dev/api/starships/10/, https://swapi.dev/api/starships/11/, https://swapi.dev/api/starships/12/, https://swapi.dev/api/starships/15/, https://swapi.dev/api/starships/17/, https://swapi.dev/api/starships/21/, https://swapi.dev/api/starships/22/, https://swapi.dev/api/starships/23/","https://swapi.dev/api/vehicles/8/, https://swapi.dev/api/vehicles/14/, https://swapi.dev/api/vehicles/16/, https://swapi.dev/api/vehicles/18/, https://swapi.dev/api/vehicles/19/, https://swapi.dev/api/vehicles/20/","https://swapi.dev/api/species/1/, https://swapi.dev/api/species/2/, https://swapi.dev/api/species/3/, https://swapi.dev/api/species/6/, https://swapi.dev/api/species/7/",https://swapi.dev/api/films/2/,2014-12-12T11:26:24.656000Z,2014-12-15T13:07:53.386000Z
Return of the Jedi,6,Richard Marquand,"Howard G. Kazanjian, George Lucas, Rick McCallum",1983-05-25,"https://swapi.dev/api/people/1/, https://swapi.dev/api/people/2/, https://swapi.dev/api/people/3/, https://swapi.dev/api/people/4/, https://swapi.dev/api/people/5/, https://swapi.dev/api/people/10/, https://swapi.dev/api/people/13/, https://swapi.dev/api/people/14/, https://swapi.dev/api/people/16/, https://swapi.dev/api/people/18/, https://swapi.dev/api/people/20/, https://swapi.dev/api/people/21/, https://swapi.dev/api/people/22/, https://swapi.dev/api/people/25/, https://swapi.dev/api/people/27/, https://swapi.dev/api/people/28/, https://swapi.dev/api/people/29/, https://swapi.dev/api/people/30/, https://swapi.dev/api/people/31/, https://swapi.dev/api/people/45/","https://swapi.dev/api/planets/1/, https://swapi.dev/api/planets/5/, https://swapi.dev/api/planets/7/, https://swapi.dev/api/planets/8/, https://swapi.dev/api/planets/9/","https://swapi.dev/api/starships/2/, https://swapi.dev/api/starships/3/, https://swapi.dev/api/starships/10/, https://swapi.dev/api/starships/11/, https://swapi.dev/api/starships/12/, https://swapi.dev/api/starships/15/, https://swapi.dev/api/starships/17/, https://swapi.dev/api/starships/22/, https://swapi.dev/api/starships/23/, https://swapi.dev/api/starships/27/, https://swapi.dev/api/starships/28/, https://swapi.dev/api/starships/29/","https://swapi.dev/api/vehicles/8/, https://swapi.dev/api/vehicles/16/, https://swapi.dev/api/vehicles/18/, https://swapi.dev/api/vehicles/19/, https://swapi.dev/api/vehicles/24/, https://swapi.dev/api/vehicles/25/, https://swapi.dev/api/vehicles/26/, https://swapi.dev/api/vehicles/30/","https://swapi.dev/api/species/1/, https://swapi.dev/api/species/2/, https://swapi.dev/api/species/3/, https://swapi.dev/api/species/5/, https://swapi.dev/api/species/6/, https://swapi.dev/api/species/8/, https://swapi.dev/api/species/9/, https://swapi.dev/api/species/10/, https://swapi.dev/api/species/15/",https://swapi.dev/api/films/3/,2014-12-18T10:39:33.255000Z,2014-12-20T09:48:37.462000Z
The Phantom Menace,1,George Lucas,Rick McCallum,1999-05-19,"https://swapi.dev/api/people/2/, https://swapi.dev/api/people/3/, https://swapi.dev/api/people/10/, https://swapi.dev/api/people/11/, https://swapi.dev/api/people/16/, https://swapi.dev/api/people/20/, https://swapi.dev/api/people/21/, https://swapi.dev/api/people/32/, https://swapi.dev/api/people/33/, https://swapi.dev/api/people/34/, https://swapi.dev/api/people/35/, https://swapi.dev/api/people/36/, https://swapi.dev/api/people/37/, https://swapi.dev/api/people/38/, https://swapi.dev/api/people/39/, https://swapi.dev/api/people/40/, https://swapi.dev/api/people/41/, https://swapi.dev/api/people/42/, https://swapi.dev/api/people/43/, https://swapi.dev/api/people/44/, https://swapi.dev/api/people/46/, https://swapi.dev/api/people/47/, https://swapi.dev/api/people/48/, https://swapi.dev/api/people/49/, https://swapi.dev/api/people/50/, https://swapi.dev/api/people/51/, https://swapi.dev/api/people/52/, https://swapi.dev/api/people/53/, https://swapi.dev/api/people/54/, https://swapi.dev/api/people/55/, https://swapi.dev/api/people/56/, https://swapi.dev/api/people/57/, https://swapi.dev/api/people/58/, https://swapi.dev/api/people/59/","https://swapi.dev/api/planets/1/, https://swapi.dev/api/planets/8/, https://swapi.dev/api/planets/9/","https://swapi.dev/api/starships/31/, https://swapi.dev/api/starships/32/, https://swapi.dev/api/starships/39/, https://swapi.dev/api/starships/40/, https://swapi.dev/api/starships/41/","https://swapi.dev/api/vehicles/33/, https://swapi.dev/api/vehicles/34/, https://swapi.dev/api/vehicles/35/, https://swapi.dev/api/vehicles/36/, https://swapi.dev/api/vehicles/37/, https://swapi.dev/api/vehicles/38/, https://swapi.dev/api/vehicles/42/","https://swapi.dev/api/species/1/, https://swapi.dev/api/species/2/, https://swapi.dev/api/species/6/, https://swapi.dev/api/species/11/, https://swapi.dev/api/species/12/, https://swapi.dev/api/species/13/, https://swapi.dev/api/species/14/, https://swapi.dev/api/species/15/, https://swapi.dev/api/species/16/, https://swapi.dev/api/species/17/, https://swapi.dev/api/species/18/, https://swapi.dev/api/species/19/, https://swapi.dev/api/species/20/, https://swapi.dev/api/species/21/, https://swapi.dev/api/species/22/, https://swapi.dev/api/species/23/, https://swapi.dev/api/species/24/, https://swapi.dev/api/species/25/, https://swapi.dev/api/species/26/, https://swapi.dev/api/species/27/",https://swapi.dev/api/films/4/,2014-12-19T16:52:55.740000Z,2014-12-20T10:54:07.216000Z
Attack of the Clones,2,George Lucas,Rick McCallum,2002-05-16,"https://swapi.dev/api/people/2/, https://swapi.dev/api/people/3/, https://swapi.dev/api/people/6/, https://swapi.dev/api/people/7/, https://swapi.dev/api/people/10/, https://swapi.dev/api/people/11/, https://swapi.dev/api/people/20/, https://swapi.dev/api/people/21/, https://swapi.dev/api/people/22/, https://swapi.dev/api/people/33/, https://swapi.dev/api/people/35/, https://swapi.dev/api/people/36/, https://swapi.dev/api/people/40/, https://swapi.dev/api/people/43/, https://swapi.dev/api/people/46/, https://swapi.dev/api/people/51/, https://swapi.dev/api/people/52/, https://swapi.dev/api/people/53/, https://swapi.dev/api/people/58/, https://swapi.dev/api/people/59/, https://swapi.dev/api/people/60/, https://swapi.dev/api/people/61/, https://swapi.dev/api/people/62/, https://swapi.dev/api/people/63/, https://swapi.dev/api/people/64/, https://swapi.dev/api/people/65/, https://swapi.dev/api/people/66/, https://swapi.dev/api/people/67/, https://swapi.dev/api/people/68/, https://swapi.dev/api/people/69/, https://swapi.dev/api/people/70/, https://swapi.dev/api/people/71/, https://swapi.dev/api/people/72/, https://swapi.dev/api/people/73/, https://swapi.dev/api/people/74/, https://swapi.dev/api/people/75/, https://swapi.dev/api/people/76/, https://swapi.dev/api/people/77/, https://swapi.dev/api/people/78/, https://swapi.dev/api/people/82/","https://swapi.dev/api/planets/1/, https://swapi.dev/api/planets/8/, https://swapi.dev/api/planets/9/, https://swapi.dev/api/planets/10/, https://swapi.dev/api/planets/11/","https://swapi.dev/api/starships/21/, https://swapi.dev/api/starships/32/, https://swapi.dev/api/starships/39/, https://swapi.dev/api/starships/43/, https://swapi.dev/api/starships/47/, https://swapi.dev/api/starships/48/, https://swapi.dev/api/starships/49/, https://swapi.dev/api/starships/52/, https://swapi.dev/api/starships/58/","https://swapi.dev/api/vehicles/4/, https://swapi.dev/api/vehicles/44/, https://swapi.dev/api/vehicles/45/, https://swapi.dev/api/vehicles/46/, https://swapi.dev/api/vehicles/50/, https://swapi.dev/api/vehicles/51/, https://swapi.dev/api/vehicles/53/, https://swapi.dev/api/vehicles/54/, https://swapi.dev/api/vehicles/55/, https://swapi.dev/api/vehicles/56/, https://swapi.dev/api/vehicles/57/","https://swapi.dev/api/species/1/, https://swapi.dev/api/species/2/, https://swapi.dev/api/species/6/, https://swapi.dev/api/species/12/, https://swapi.dev/api/species/13/, https://swapi.dev/api/species/15/, https://swapi.dev/api/species/28/, https://swapi.dev/api/species/29/, https://swapi.dev/api/species/30/, https://swapi.dev/api/species/31/, https://swapi.dev/api/species/32/, https://swapi.dev/api/species/33/, https://swapi.dev/api/species/34/, https://swapi.dev/api/species/35/",https://swapi.dev/api/films/5/,2014-12-20T10:57:57.886000Z,2014-12-20T20:18:48.516000Z
Revenge of the Sith,3,George Lucas,Rick McCallum,2005-05-19,"https://swapi.dev/api/people/1/, https://swapi.dev/api/people/2/, https://swapi.dev/api/people/3/, https://swapi.dev/api/people/4/, https://swapi.dev/api/people/5/, https://swapi.dev/api/people/6/, https://swapi.dev/api/people/7/, https://swapi.dev/api/people/10/, https://swapi.dev/api/people/11/, https://swapi.dev/api/people/12/, https://swapi.dev/api/people/13/, https://swapi.dev/api/people/20/, https://swapi.dev/api/people/21/, https://swapi.dev/api/people/33/, https://swapi.dev/api/people/35/, https://swapi.dev/api/people/46/, https://swapi.dev/api/people/51/, https://swapi.dev/api/people/52/, https://swapi.dev/api/people/53/, https://swapi.dev/api/people/54/, https://swapi.dev/api/people/55/, https://swapi.dev/api/people/56/, https://swapi.dev/api/people/58/, https://swapi.dev/api/people/63/, https://swapi.dev/api/people/64/, https://swapi.dev/api/people/67/, https://swapi.dev/api/people/68/, https://swapi.dev/api/people/75/, https://swapi.dev/api/people/78/, https://swapi.dev/api/people/79/, https://swapi.dev/api/people/80/, https://swapi.dev/api/people/81/, https://swapi.dev/api/people/82/, https://swapi.dev/api/people/83/","https://swapi.dev/api/planets/1/, https://swapi.dev/api/planets/2/, https://swapi.dev/api/planets/5/, https://swapi.dev/api/planets/8/, https://swapi.dev/api/planets/9/, https://swapi.dev/api/planets/12/, https://swapi.dev/api/planets/13/, https://swapi.dev/api/planets/14/, https://swapi.dev/api/planets/15/, https://swapi.dev/api/planets/16/, https://swapi.dev/api/planets/17/, https://swapi.dev/api/planets/18/, https://swapi.dev/api/planets/19/","https://swapi.dev/api/starships/2/, https://swapi.dev/api/starships/32/, https://swapi.dev/api/starships/48/, https://swapi.dev/api/starships/59/, https://swapi.dev/api/starships/61/, https://swapi.dev/api/starships/63/, https://swapi.dev/api/starships/64/, https://swapi.dev/api/starships/65/, https://swapi.dev/api/starships/66/, https://swapi.dev/api/starships/68/, https://swapi.dev/api/starships/74/, https://swapi.dev/api/starships/75/","https://swapi.dev/api/vehicles/33/, https://swapi.dev/api/vehicles/50/, https://swapi.dev/api/vehicles/53/, https://swapi.dev/api/vehicles/56/, https://swapi.dev/api/vehicles/60/, https://swapi.dev/api/vehicles/62/, https://swapi.dev/api/vehicles/67/, https://swapi.dev/api/vehicles/69/, https://swapi.dev/api/vehicles/70/, https://swapi.dev/api/vehicles/71/, https://swapi.dev/api/vehicles/72/, https://swapi.dev/api/vehicles/73/, https://swapi.dev/api/vehicles/76/","https://swapi.dev/api/species/1/, https://swapi.dev/api/species/2/, https://swapi.dev/api/species/3/, https://swapi.dev/api/species/6/, https://swapi.dev/api/species/15/, https://swapi.dev/api/species/19/, https://swapi.dev/api/species/20/, https://swapi.dev/api/species/23/, https://swapi.dev/api/species/24/, https://swapi.dev/api/species/25/, https://swapi.dev/api/species/26/, https://swapi.dev/api/species/27/, https://swapi.dev/api/species/28/, https://swapi.dev/api/species/29/, https://swapi.dev/api/species/30/, https://swapi.dev/api/species/33/, https://swapi.dev/api/species/34/, https://swapi.dev/api/species/35/, https://swapi.dev/api/species/36/, https://swapi.dev/api/species/37/",https://swapi.dev/api/films/6/,2014-12-20T18:49:38.403000Z,2014-12-20T20:47:52.073000Z
